run_nr,appr_status_code,appr_exec_time,data_status_code,data_req_exec_time
0,200,0.027485,200,7.859187
1,200,0.024781,408,30.00206
2,200,0.022587,200,6.98799
3,200,0.03375,200,7.977461
4,200,0.035341,200,7.277122
5,200,0.023198,200,7.760257
6,200,0.034807,200,15.114055
