run_nr,appr_status_code,appr_exec_time,data_status_code,data_req_exec_time
0,200,0.021563,400,6.023892
1,200,0.019634,400,6.026807
2,200,0.021613,400,6.028097
3,200,0.018361,400,6.027893
4,200,0.032134,400,6.024046
5,200,0.020825,400,6.025731
6,200,0.025814,400,6.026912
