run_nr,appr_status_code,appr_exec_time,data_status_code,data_req_exec_time
0,200,0.026038,200,6.911081
1,200,0.028821,200,0.011767
2,200,0.023057,200,0.010462
3,200,0.020438,200,1.011538
4,200,0.023193,200,1.017735
5,200,0.034703,200,0.009882
6,200,0.023075,200,1.015982
