run_nr,appr_status_code,appr_exec_time,data_status_code,data_req_exec_time
0,200,0.02587,200,7.831221
1,200,0.029672,200,7.974151
2,200,0.02174,200,7.857844
3,200,0.025401,200,7.833952
4,200,0.026091,200,10.257169
5,200,0.024822,200,7.961711
6,200,0.024333,200,10.176895
