run_nr,appr_status_code,appr_exec_time,data_status_code,data_req_exec_time
0,200,0.027513,200,0.011099
1,200,0.034988,200,0.016188
2,200,0.021737,200,0.016361
3,200,0.025329,200,1.013672
4,200,0.026979,200,0.013527
5,200,0.021378,200,1.014262
6,200,0.02373,200,0.009516
