run_nr,appr_status_code,appr_exec_time,data_status_code,data_req_exec_time
0,200,0.02861,408,30.002671
1,200,0.029356,408,30.002644
2,200,0.024362,408,30.002439
3,200,0.019451,408,30.003548
4,200,0.031117,408,30.001855
5,200,0.023808,408,30.001644
6,200,0.021697,408,30.005258
