run_nr,appr_status_code,appr_exec_time,data_status_code,data_req_exec_time
0,200,0.046139,200,6.131546
1,200,0.028926,200,5.451545
2,200,0.029651,200,5.332175
3,200,0.021448,200,5.43344
4,200,0.024316,200,5.444252
5,200,0.020568,200,5.280984
6,200,0.024091,200,5.447294
